back	adv.回原处?n.背?后面?adj.后面的?v.后退
buoyant	adj.有浮力的? 轻快的?adj.有浮力的， 漂浮的； 轻快的， 快乐的； 繁荣的； 看涨的
shine	v.照耀?发光 n光泽
kinship	n.血族关系?n.血缘关系， 亲属关系
helpful	adj.有益的；给予帮助的
domestication	n.驯养? 教化
replenish	v.补充?vt.添加， 补充
tutelage	n.监护
freudian	n.n&a?佛洛伊德学说(的)
blubber	n.鲸脂?哭号v哭号
basalt	n.玄武岩
predation	n.掠食?n.掠夺； 掠食
photographer	n.摄影师
boule	n.人造宝石，议会
Berlin	n.柏林[德国]
trance	n&v.恍惚；出神?n.恍惚； 昏睡状态
vigorously	adv.精力旺盛地；健壮地
brightly	adv.明亮地
underlies	v.位于之下? 成为的基础
telecommunication	n.电信，远程通信?n.电信
reset	v.重新安排
constructive	adj.建设性的?构造上的
habituation	n.适应
shock	n&v.震动；震惊
permanence	n.永久? 持久?n.永久， 持久
tine	n.(尖)齿? 叉
vacation	n.假期?休假?vi.度假?n.假期
briefly	adv.简短地；简略地
Scottish	n.苏格兰人(的)? 苏格兰语（的）
Norwegian	adj.挪威的 n挪威人? 挪威语
lime	n.酸橙?石灰
ball	n.球? 球状物
joiner	n.工匠
repetition	n.重复，反复?n.重复， 反复； 重复的事
patronage	n.赞助；光顾(买东西)
carman	n.车夫?司机
incise	v.切入? 切割
leak	v.(使)漏；泄露 n漏洞?v.漏，渗出，泄漏?n.漏洞， 裂缝； 泄露； 走漏
Mexican	n&a.墨西哥(的)， 墨西哥人(的)
cat	n.猫
bit	n.一点儿，少许；小片
doctor	n.医生；博士
crumple	v.(使)皱，扭曲；(使)崩溃?v.变皱， 起皱； 破裂； 崩溃， 垮台
developmental	adj.发展的? 进化的
await	v.等候
saline	adj.含盐的；咸的
warmth	n.暖和? 温暖
newborn	n.婴儿
shadow	n.阴影；影子
magic	n.魔术；魔力 a有魔力的
meal	n.餐? 一顿饭
chapbook	n.畅销故事书
shoe	n.鞋
Manhattan	n.曼哈顿岛(美国纽约一区)
satisfactory	adj.令人满意的
devastate	v.毁坏?vt.破坏， 毁坏； 令人震惊， 使难以承受
Holland	n.荷兰
arcade	n.拱廊
navigational	adj.导航的? 航行的
soak	n&v.浸泡? 渗透?v.浸泡， 浸湿， 浸透
taxes	n.赋税? 税收
belt	n.带子? 地带?n.地带， 地区； 腰带， 皮带； 带状物
meticulously	adv.仔细地?谨慎地
unaided	adj.未受协助的? 独立的?adj.未受协助的， 独立的
unnecessary	adj.不必要的?多余的
concave	adj.凹的 n凹(面)?adj.凹的
beak	n.鸟嘴? 喙?n.鸟嘴， 喙
duck	n.鸭，鸭肉
duty	n.义务? 责任
yard	n.院子，场地
legendary	adj.闻名的；传说的
congressional	adj.会议的；国(议)会的?adj.立法机构的； 代表大会的； 国会的
abstraction	n.提取
eel	n.鳗鱼
December	n.十二月(略作Dec)
width	n.宽度? 广度
pet	n.宠物
camouflage	v&n.伪装?n&vt.掩饰， 伪装
postage	n.邮费?n.邮资， 邮费
cylindrical	adj.圆柱形的
bent	n.倾向? 爱好
son	n.儿子
stimulation	n.激励?刺激
hibernate	v.冬眠
kettle	n.壶? 罐? 釜? 鼓
shut	v.关上? 关闭
salary	n.薪水
waterpower	n.水力(水力发电)
pollen	n.花粉
firmly	adv.坚固地，稳定地
symbolize	v.象征
brea	n.布雷亚(美国加州地名)
upset	v.搅乱?使心烦 n不安?adj.心烦意乱的； 不适的?vt.使心烦意乱； 颠覆， 推翻； 搅乱?n.困扰， 麻烦； 出乎意料的结局； 苦恼
exocrine	adj.[医]外分泌的
camp	n.营地?v.宿营
overlie	v.躺在上面
aboard	prep&ad.在(船、飞机、车)上，上船
blend	v.(使)混和n混合物?v.混合，混杂?n.混合； 混合物
participation	n.参加，参与
brass	n.黄铜(制品)?n.铜管乐器； 黄铜
detectable	adj.可发现的?可察觉的?adj.可发觉的， 可察觉的
toolmaker	n.精密工具制造者
printmaking	n.版画复制(术)
populous	adj.人口稠密的
wallpaper	n.墙纸
gasoline	n.汽油
invite	v.邀请；征求
igloo	n.圆顶建筑
formalize	v.使正式? 形式化
edition	n.版?版本
inefficient	adj.效率低的?效率差的
geographer	n.地理学者
laser	n.激光?n.激光； 激光器
meteoric	adj.流星的?大气的
explode	v.爆炸；爆发?v.爆炸； 激增； 冲动， 发怒
Michigan	n.密歇根州(美国州名)
favorite	adj.喜爱的 n特别喜爱的人(或物)
anxious	adj.渴望的? 忧虑的?adj.渴望的； 担忧的； 令人焦虑的
vie	v.竞争
carol	n.颂歌? 欢乐的歌
god	n.神? 上帝
girl	n.女孩
exceptionally	adv.格外地? 特别地
fieldstone	n.散石?大卵石
defenseless	adj.无防备的
lumiere	n.彩色照相术
accompaniment	n.陪伴物? 伴奏
pretend	v.假装，装作
mule	n.骡子?十分固执的人
wipe	v.擦? 揩?v&n.擦， 揩， 抹
individualism	n.个人主义? 利己主义
Russian	a& n.俄罗斯(语)(的)
krill	n.[动]磷虾(单复同)
forty	num.四十
coastline	n.海岸线
unevenly	adv.不平坦地? 不均衡地
sick	adj.有病的；恶心的
drapery	n.布业，布匹
nick	n.小伤口，刻痕
Ute	n.犹特人(美洲印第安人的一种)? 犹特语
headquarter	v.将之总部设在
peach	n.桃(树)
radiocarbon	n.放射性炭
afield	adv.远离着(家乡)? 去远处
relocate	v.重新部署
enormously	adv.极度?大量
saltwater	adj.盐水的? 海产的
deglaciation	n.冰消作用
glen	n.峡谷? 溪谷
poison	n.毒药vt 下毒
pangaea	n.泛古陆? 泛大陆
fahrenheit	n.华氏温度计?adj.华氏温度的
lys	n.[化]赖氨酸
Sac	n.〈生〉囊?液囊?n.囊， 液囊
midcontinent	n.大陆中部
emperor	n.皇帝? 君主
mainstay	n.支柱?骨干
connecticut	n.(美国）康涅狄格
wholly	adv.整个?全部
brilliance	n.光辉，辉煌
Oklahoma	n.俄克拉荷马州
rhinoceros	n.[动]犀牛?n.犀牛
externally	adv.外部地? 外面地
tax	n.税?税款
plumb	v.（用铅垂）测量?探测
trout	n.鲑鱼
permian	n&a.[地]二叠纪(的)
friendly	adj.友好的? 友谊的
foraminifera	n.有孔虫类
peace	n.和平? 安静
agitate	v.搅动?煽动?v.鼓动， 煽动； 激怒， 使激动， 使不安； 搅动
farce	n.闹剧；荒唐可笑?n.笑剧， 滑稽剧； 闹剧
aborigine	n.土著居民
attest	v.证明
aggressiveness	n.进取精神? 侵犯
privately	adv.秘密，一个人
lawlike	adj.似法律的
oppositely	adv.相反地? 相对地
anecdotal	adj.轶事的?趣闻的?adj.轶话的， 逸闻趣事的
ounce	n.盎司
synchronization	n.同步化
dress	n.连衣裙?女装 v打扮
biographer	n.传记作者
creativity	n.创造(力)?n.创造力， 创造性
illness	n.疾病? 生病
Anglo	n.盎格鲁? 英裔美国人
revival	n.复兴? 复活?n.复兴， 再流行； 复苏； 苏醒， 复活； 重演
Hampshire	n.汉普郡(英国南部之一郡)
instinctive	adj.本能的?直觉的
signaler	n.信号员
retire	v.退休?v.退休， 引退， 退役； 退出； 撤退； 就寝
paradigm	n.范例?n.范例， 典范
penchant	n.喜好(倾向)
sinkhole	n.污水池
neptune	n.[天]海王星
cyanide	n.[化]氰化物
gin	n.杜松烧酒 v开始?n.杜松子酒；弹棉机，
flax	n.亚麻
purple	adj.紫色的?n.紫色
comprise	v.包含? 由组成?vt.包含； 由…组成
timer	n.计时员? 定时器
supplant	v.排挤，取代?vt.取代， 代替
harpsichord	n.大键琴
peaceful	adj.a 和平的? 平静的
revitalize	v.新生?vt.使恢复生机， 使再生； 使更强壮
spiritual	adj.精神上的
fictional	adj.虚构的?小说的
heterogeneous	adj.异种的? 异质的
protrude	v.突出?v.突出， 伸出
recrystallize	v.( 使) 再结晶
warp	v.弯曲?歪曲?v.扭曲，弯曲，变形；
Nevada	n.内华达州(美国西部内陆州)
legislature	n.立法机关?n.立法机关， 立法团体
baboon	n.[动]狒狒
overgraze	vt.使过度放牧?v.过度放牧
blowhole	n.喷水孔? 通风孔
imagist	n&a.意像派者(的)?adj.意象派的?n.意象派诗人
receptor	n.接受器?n.感受器； 受体
magenta	n&a.红紫色(的)
valse	v.轻轻地走?n.华尔兹
discoverer	n.发现者
conifer	n.[植]松类? 针叶树
botanist	n.植物学家
narrator	n.讲述者
critically	adv.批评性地? 危急地
Inca	n.印加人(古代秘鲁土著人)
woolen	adj.毛线的?n.毛制品
dialogue	n.对话
variously	adv.不同地? 各种各样地
incursion	n.侵犯，入侵?n.袭击， 突然入侵； 介入
sweet	adj.甜的
milk	n.乳? 牛奶
subside	v.下沉?平静
socially	adv.社交上；社会上
twin	n.双胞胎中一人?v.使成对
tenement	n.公寓?n.廉租公寓
daguerreotype	n.(早期)银板照相
fatty	adj.脂肪的
mainland	n.大陆
rend	v.撕裂，猛拉
maser	n.微波激射器
spinal	adj.脊椎骨?n.脊髓麻醉
generic	adj.种类的，类属的?adj.种类的， 属的； 一般的， 普通的
resin	n.树脂 vt涂树脂于?n.树脂
backward	a&ad.向后的? 落后的
carving	n.雕刻(品)
frown	v.／ n皱眉，蹙额
distrust	n&vt.不信任，怀疑
smother	v.窒息?vt.使窒息而死； 厚厚地覆盖； 抑制， 扼杀； 把闷熄
cavern	n.洞穴，大山洞?n.大洞穴， 大山洞
minuscule	n&a.草写小字(的)
envelop	v.包封? 遮盖?vt.包围
fortunately	adv.幸运地，幸亏
dormant	adj.冬眠的?adj.静止的； 休眠的； 隐匿的
coppersmith	n.铜匠
portability	n.可携带? 轻便
potato	n.马铃薯
extermination	n.消灭? 根绝
suburbanization	n.市郊化
succulent	adj.多汁的
medal	n.奖牌，奖章?n.奖牌， 奖章
micron	n.微米?百万分之一米
spout	v.喷出
catastrophic	adj.悲惨的? 灾难的
sensory	adj.知觉的? 感觉的?adj.感觉的， 感官的
fodder	n.饲料? 草料
photoflash	n.（照相）闪光灯
substantiated	vt.证实? 实体化
cramp	n.痉挛?v.限制，束缚?n.痉挛，抽筋；?vt.阻碍， 阻止
reversal	n.翻转? 倒转? 反转
psychologically	adv.精神上地? 心理上地
virtuosity	n.艺术鉴别力
leafy	adj.叶状的；叶茂的
perishable	adj.容易腐烂的?adj.易腐的， 易变质的
retract	v.缩回? 撤销?v.收回， 撤销； 缩回
Israel	n.[地名] 以色列
retrieval	n.取回，补偿?n.数据检索； 取回， 索回
domelike	adj.穹顶状的
savannah	n.(南美)大草原
snake	n.蛇
pour	v.灌?注?倾泻
navigator	n.航海家
elliot	n.埃利奥特(男子名)
perry	n.梨子酒
liter	n.公升
arthropod	n&a.节肢动物(的)
airflow	n.气流
departure	n.启程? 出发
spearhead	v.充当先锋?n.先锋，前锋，先头部队?vt.为…作先锋； 带头做
unjust	adj.不公平的
industrialism	n.产业主义?工业制度
drug	n.药
environmentally	adv.在环境方面地
gem	n.宝石? 珍宝?n.宝石， 珍品； 美丽绝伦的事物
detract	v.转移?v.减损； 贬低， 诋毁
swirl	n&v.旋转，漩涡?v.打旋， 旋转?n.漩涡；螺旋形
bluefin	n.金枪鱼
potent	adj.强有力的?有效的
sociobiology	n.生物社会学
providence	n.深谋远虑，远见
catharsis	n.宣泄，净化
contradictory	adj.相矛盾的?adj.对立的，矛盾的；反驳的?n.对立物； 矛盾因素
chloride	n.[化]氯化物
archaic	adj.古代的? 陈旧的
aristocrat	n.贵族
plug	v.塞 n插头
absolute	adj.完全的? 绝对的?adj.完全的， 绝对的； 地道的； 无疑的， 确凿的； 不受限制的， 不受约束的
lade	v.装载?装货
Soviet	n&a.苏维埃(的)
magnesium	n.[化]镁?n.镁
engulf	v.吞没?vt.吞没
frigid	adj.寒冷的?adj.寒冷的； 冷淡的
grandiose	adj.宏伟的?堂皇的
despondent	adj.失望的? 沮丧的?adj.垂头丧气的， 沮丧的
identifiable	adj.可辨认的
cellular	adj.细胞组成的，多孔的
universality	n.普遍性? 一般性
Impressionism	n.印象派? 印象主义
steer	v.操纵? 驾驶?v.驾驶，为…操舵；引导?n.食用公牛
writing	n.笔迹? 作品
symbolism	n.象征主义
bowl	n.碗
unreliable	adj.不可靠的
unfortunate	adj.不幸的
weekly	adj.每周的 ad一周一次地 n周报
hardness	n.硬度
aerodynamic	adj.空气动力学的
pianist	n.钢琴家
slender	adj.苗条的? 微薄的?adj.细长的； 苗条的， 纤细的； 微薄的， 不足的
alp	n.高山
vase	n.(花)瓶
mouse	n.鼠
craftsmanship	n.技术
beast	n.野兽，牲畜
affinity	n.密切关系?类同?n.密切关系； 吸引力； 喜爱
diagonal	n&a.对角线(的)?adj.斜线的，
nontraditional	adj.非传统的
disprove	v.反驳?证明为误?vt.证明…不成立， 证明…是错误的
shirt	n.衬衫
plenty	n.丰富? 大量
appropriately	adv.适当地
emotionally	adv.感情上地? 冲动地
freshly	adv.新近，刚才
unbelievable	adj.难以置信的
woodworker	n.木工
conversation	n.会话?n.交谈， 会话
translate	v.翻译
eager	adj.热心于? 渴望着?adj.渴望的， 热切的
skillful	adj.熟练的? 灵巧的
fate	n.天数?命运
Babylonian	n.巴比伦人(的)? 巴比伦语（的）?adj.巴比伦的；奢华的?n.巴比伦人
tram	n.有轨电车
stripe	n.条纹?n.条纹， 斑纹
volatile	adj.动荡不定的?反复无常的?adj.挥发性的， 易挥发的； 不稳定的； 反复无常的
densely	adv.浓密地
inscribe	v.题写?v.写、 题、 铭刻； 铭记
intercity	adj.城市间的
erratic	adj.古怪的，飘忽不定的?adj.古怪的， 反复无常的； 不规则的； 不稳定的
overly	adv.过度地? 极度地
uplift	v.提高；振奋(精神)
workday	n.工作日
golden	adj.金(黄)色的；金的
officially	adv.职务上? 正式
thunderstorm	n.雷暴雨
frog	n.青蛙
deception	n.欺骗? 诡计?n.骗局； 诡计； 欺骗， 欺诈
typify	v.代表?vt.是…的典范； 成为…的特征
gently	adv.轻轻地? 温柔地
peregrine	n.游隼 a外来的?移住的
optimal	adj.最理想的?adj.最佳的， 最理想的
tapestry	n.挂毯
mechanization	n.机械化
influx	n.流入?n.注入， 涌入
sculptural	adj.雕刻的
calm	adj.镇定的?平静的 v(使)平静?adj.平静的；镇静的，沉着的?vt.使平静， 使镇定， 平息
landmass	n.大陆?n.大片陆地
ornamentation	n.装饰
freely	adv.自由地；慷慨地
globe	n.球体?地球仪
shiny	adj.发光的；磨光的
glassmaker	n.玻璃工人
spectacularly	adv.壮观地? 令人吃惊地
nss	n.卫星导航系统(供氮系统)
unclear	adj.不清楚的
unimportant	adj.不重要的
ubiquitous	adj.到处存在的
demise	n.死亡?让位
error	n.错误? 过失
barter	v.交易?n&v.实物交易， 以物易物
nomadic	adj.游牧的? 流浪的?adj.游牧的； 流浪的
seashore	n.海岸? 海滨?n.海岸， 海滨
nonhuman	adj.非人类的
cottage	n.村舍?小别墅
fairground	n.游乐场? 集市
candle	n.蜡烛
kilogram	n.[物]千克? 公斤
naturalism	n.自然主义
delight	n&v.高兴?欣喜?v.愉快，高兴?n.快乐， 高兴； 令人高兴的事， 乐趣
telegraph	n&v.(打)电报?v.打电报， 发电报?n.电报；电报机
stance	n.站姿，立场
kitchen	n.厨房
tour	n&v.旅行，游历
contraction	n.收缩
biotic	adj.有关生命的?生物的
honest	adj.诚实的? 正直的
firewood	n.木柴? 柴火
barn	n.[农]谷仓? 畜棚? 畜舍? 机器房?n.谷仓； 牲口棚
joke	n.笑话? 玩笑
granular	adj.由小粒而成的?粒状的?adj.粒状的； 含颗粒的
thaw	n.融化?解冻?v.融化，解冻；化冻；变暖；变得友善?n.解冻时期； 缓和
quarry	n.采石场?v.挖出?v.采石； 采集?n.采石场，石矿；猎物，追捕的对象
ethology	n.动物行动学? 人种学
amendment	n.改善? 改正
curious	adj.好奇的? 奇特的
neck	n.脖子? 颈
acceptable	adj.可接受的? 合意的
forager	n.强征(粮食)者
impend	v.迫近，逼近
glasslike	adj.玻璃状的
translucent	adj.半透明的
topsoil	n.表层土
interrelationship	n.相互关系
blade	n.刀刃? 刀片?n.刀刃， 刀片； 叶片； 草叶； 桨叶
pocket	n.衣袋，小袋
hillside	n.山腰
beside	prep.在…旁边?和…相比
buffer	n.缓冲器
happy	adj.快乐的，幸福的
outsider	n.外行? 局外人
aragonite	n.[矿]霰石? 文石
unaltered	adj.未被改变的
bath	n.沐浴? 浴室
directional	adj.方向的
holding	n.保持，固定
treeless	adj.没有树木的
recorder	n.记录员? 记录器
seller	n.售货者
noticeably	adv.显著地，显然
caste	n.印度的世袭阶级
gosling	n.小鹅，年轻无知的人
formally	adv.正式地? 形式上
residence	n.居住? 住处
antecedent	adj.先行的?n.祖先?n.祖先，先辈
stake	n.树桩?n.股份；赌注；利害关系?vt.以…打赌， 拿…冒险
disloyalty	n.不忠实
nystatin	n.[微]制霉菌素
prodigious	adj.巨大的? 惊人的?adj.巨大的
mural	adj.墙壁的 n壁画?adj.墙壁的； 在墙上的?n.壁画，壁饰
fountain	n.喷泉?n.喷泉； 丰富来源， 源泉
gatherer	n.收集者? 收集器
shoemaking	n.制鞋
electrically	adv.用电力?有关电地
sprawl	v.伸开?vi.伸开四肢坐；扩展，蔓延?n.扩展， 蔓延； 蔓延物
petal	n.花瓣
technologically	adv.科技地
proportionately	adv.相称地? 成比例地
germanium	n.锗
sparse	adj.稀少的? 稀疏的?adj.稀疏的， 稀少的； 贫乏的
statuary	n.雕象
hypha	n.[植]菌丝
farsighted	adj.有先见之明的? 远视的
fatten	v.养肥；使肥沃
spit	n.唾液 v吐(唾沫)
expanse	n.广阔；宽阔的区域
dawn	n.黎明 vi破晓?开始出现?n.破晓， 黎明； 开始， 发端
pram	n.婴儿车
wonderful	adj.精彩的? 极好的
Sanskrit	n& a.梵语(的)
orbital	adj.轨道的
quit	v.离开? 辞职?v.停止； 放弃； 离开； 辞
bison	n.(美洲)野牛?n.美洲野牛
hyksos	n.希克索斯王朝(古埃及王朝之一)
arduous	adj.费力的? 辛勤的?adj.费力的， 艰巨的
boulder	n.大石头?n.巨石， 巨砾
saint	n.圣人? 圣徒
bathhouse	n.公共浴室? 澡堂
ionize	v.使离子化 ?电离
Hollywood	n.好莱坞
demographic	adj.人口统计学的
duct	n.管道? 导管?vt.用导管输送
sweat	n.汗 v(使)出汗?v.出汗?n.汗；一身汗
bloodstream	n.血流
reelection	n.再选? 改选
dwelling	n.住处
midair	n.半空中
crocodile	n.鳄鱼? 鳄鱼皮
sister	n.姐妹
calve	v.生小牛? (使)冰山崩解
integration	n.综合
usefulness	n.有用? 有效性
olfactory	adj.嗅觉的
cranial	adj.头盖(形)的?n.头盖骨的， 颅骨的
prerequisite	n.先决条件?adj.必备的， 作为先决条件的?n.先决条件，前提
occupational	adj.职业的
updraft	n.上升气流
deliberation	n.仔细考虑；商量
flagpole	n.旗杆
invoke	v.恳求
hypersensitive	adj.过份敏感的
